FID,X,Y,District,Country,Species
158,35.4737081,8.1755392,Ale,Ethiopia,Coffeearabica
159,35.4710689,8.1745273,Ale,Ethiopia,Coffeearabica
160,35.4671019,8.1752693,Ale,Ethiopia,Coffeearabica
161,35.4646968,8.1753928,Ale,Ethiopia,Coffeearabica
162,35.4629701,8.1741779,Ale,Ethiopia,Coffeearabica
163,35.4725505,8.1734692,Ale,Ethiopia,Coffeearabica
164,35.4725911,8.178059,Ale,Ethiopia,Coffeearabica
165,35.4766691,8.1809895,Ale,Ethiopia,Coffeearabica
166,35.480805,8.1810673,Ale,Ethiopia,Coffeearabica
167,35.4857674,8.1912311,Ale,Ethiopia,Coffeearabica
168,35.4901643,8.1926839,Ale,Ethiopia,Coffeearabica
169,35.6122979,8.075267,Ale,Ethiopia,Coffeearabica
170,35.4962327,8.1056117,Ale,Ethiopia,Coffeearabica
171,35.5281328,8.117447,Ale,Ethiopia,Coffeearabica
172,35.4739613,8.1069335,Ale,Ethiopia,Coffeearabica
173,35.4715815,8.1098328,Ale,Ethiopia,Coffeearabica
174,35.4686662,8.1086568,Ale,Ethiopia,Coffeearabica
175,35.4676977,8.1067158,Ale,Ethiopia,Coffeearabica
176,35.4657282,8.1094988,Ale,Ethiopia,Coffeearabica
177,35.4648746,8.1073334,Ale,Ethiopia,Coffeearabica
178,35.4636109,8.1045851,Ale,Ethiopia,Coffeearabica
179,35.4675954,8.113922,Ale,Ethiopia,Coffeearabica
180,35.4711667,8.1157738,Ale,Ethiopia,Coffeearabica
181,35.470552,8.1121907,Ale,Ethiopia,Coffeearabica
182,35.472089,8.1076058,Ale,Ethiopia,Coffeearabica
183,35.4704038,8.1066069,Ale,Ethiopia,Coffeearabica
184,35.4715923,8.104242,Ale,Ethiopia,Coffeearabica
185,35.4736017,8.1049815,Ale,Ethiopia,Coffeearabica
186,35.4738382,8.1031063,Ale,Ethiopia,Coffeearabica
187,35.4732953,8.1021053,Ale,Ethiopia,Coffeearabica
188,35.4726533,8.100935,Ale,Ethiopia,Coffeearabica
189,35.4712878,8.1029957,Ale,Ethiopia,Coffeearabica
190,35.4702977,8.1026384,Ale,Ethiopia,Coffeearabica
191,35.4725144,8.1003714,Ale,Ethiopia,Coffeearabica
192,35.474445,8.0995971,Ale,Ethiopia,Coffeearabica
193,35.4754983,8.0978885,Ale,Ethiopia,Coffeearabica
194,35.4752021,8.0966185,Ale,Ethiopia,Coffeearabica
195,35.4749729,8.0947569,Ale,Ethiopia,Coffeearabica
196,35.4777775,8.095259,Ale,Ethiopia,Coffeearabica
197,35.4802522,8.0945694,Ale,Ethiopia,Coffeearabica
198,35.4828815,8.0955174,Ale,Ethiopia,Coffeearabica
199,35.4802696,8.0933357,Ale,Ethiopia,Coffeearabica
200,35.6544465,8.1045565,Ale,Ethiopia,Coffeearabica
201,35.6463081,8.116945,Ale,Ethiopia,Coffeearabica
202,35.644661,8.1222533,Ale,Ethiopia,Coffeearabica
203,35.6437512,8.1261509,Ale,Ethiopia,Coffeearabica
204,35.6429636,8.1226517,Ale,Ethiopia,Coffeearabica
205,35.6448452,8.1270646,Ale,Ethiopia,Coffeearabica
